ID;Especie;País
963;Haya europea;Alemania
964;Roble inglés;Reino Unido
965;Fresno europeo;Irlanda
966;Abedul plateado;Finlandia
967;Abeto rojo;Noruega
968;Pino silvestre;Suecia
969;Tilo europeo;República Checa
970;Castaño europeo;Italia
971;Plátano de sombra;Francia
972;Cedro del Líbano;Líbano
973;Olivo de Anatolia;Turquía
974;Cedro del Atlas;Marruecos
975;Argán;Marruecos
976;Baobab africano;Senegal
977;Acacia de sombrilla;Kenia
978;Ébano africano;Tanzania
979;Marula;Sudáfrica
980;Mopane;Zimbabue
981;Baobab de Madagascar;Madagascar
982;Sicomoro;Egipto
983;Cedro del Himalaya;India
984;Baniano;India
985;Neem;India
986;Árbol de sal;India
987;Teca;Myanmar
988;Dipterocarpus;Malasia
989;Meranti rojo;Indonesia
990;Árbol de caucho;Indonesia
991;Bodhi;Sri Lanka
992;Pino rojo japonés;Japón
993;Cerezo japonés;Japón
994;Ginkgo;China
995;Secuoya del amanecer;China
996;Paulownia;China
997;Pino coreano;Corea del Sur
998;Eucalipto azul;Australia
999;Acacia dorada;Australia
1000;Kauri;Nueva Zelanda
