ID;Especie;País;Código_ISO_Alpha3
758;Caucho amazónico;Brasil;BRA
759;Ipê amarillo;Brasil;BRA
760;Alcornoque;Portugal;PRT
761;Olivo;España;ESP
762;Encina;España;ESP
763;Haya europea;Alemania;DEU
764;Roble inglés;Reino Unido;GBR
765;Fresno europeo;Irlanda;IRL
766;Abedul plateado;Finlandia;FIN
767;Abeto rojo;Noruega;NOR
768;Pino silvestre;Suecia;SWE
769;Tilo europeo;República Checa;CZE
770;Castaño europeo;Italia;ITA
771;Plátano de sombra;Francia;FRA
772;Cedro del Líbano;Líbano;LBN
773;Olivo de Anatolia;Turquía;TUR
774;Cedro del Atlas;Marruecos;MAR
775;Argán;Marruecos;MAR
776;Baobab africano;Senegal;SEN
777;Acacia de sombrilla;Kenia;KEN
778;Ébano africano;Tanzania;TZA
779;Marula;Sudáfrica;ZAF
780;Mopane;Zimbabue;ZWE
781;Baobab de Madagascar;Madagascar;MDG
782;Sicomoro;Egipto;EGY
783;Cedro del Himalaya;India;IND
784;Baniano;India;IND
785;Neem;India;IND
786;Árbol de sal;India;IND
787;Teca;Myanmar;MMR
788;Dipterocarpus;Malasia;MYS
789;Meranti rojo;Indonesia;IDN
790;Árbol de caucho;Indonesia;IDN
791;Bodhi;Sri Lanka;LKA
792;Pino rojo japonés;Japón;JPN
793;Cerezo japonés;Japón;JPN
794;Ginkgo;China;CHN
795;Secuoya del amanecer;China;CHN
796;Paulownia;China;CHN
797;Pino coreano;Corea del Sur;KOR
798;Eucalipto azul;Australia;AUS
799;Acacia dorada;Australia;AUS
800;Kauri;Nueva Zelanda;NZL
801;Guanacaste;Costa Rica;CRI
802;Guachipelín;Costa Rica;CRI
803;Roble sabana;Costa Rica;CRI
804;Corteza amarilla;Costa Rica;CRI
805;Almendro de montaña;Costa Rica;CRI
806;Ceiba;Guatemala;GTM
807;Matilisguate;Guatemala;GTM
808;Pinabete;Guatemala;GTM
809;Caoba;Belice;BLZ
810;Santa María;Belice;BLZ
811;Bálsamo;El Salvador;SLV
812;Maquilishuat;El Salvador;SLV
813;Pino ocote;Honduras;HND
814;Liquidámbar;Honduras;HND
815;Madroño;Nicaragua;NIC
816;Genízaro;Nicaragua;NIC
817;Árbol Panamá;Panamá;PAN
818;Espavé;Panamá;PAN
819;Palma real;Cuba;CUB
820;Jagüey;Cuba;CUB
821;Caoba dominicana;República Dominicana;DOM
822;Pino criollo;República Dominicana;DOM
823;Guayacán;Puerto Rico;PRI
824;Ausubo;Puerto Rico;PRI
825;Ahuehuete;México;MEX
826;Oyamel;México;MEX
827;Mezquite;México;MEX
828;Copal;México;MEX
829;Sabino;México;MEX
830;Arce azucarero;Canadá;CAN
831;Abeto balsámico;Canadá;CAN
832;Cedro rojo occidental;Canadá;CAN
833;Secuoya gigante;Estados Unidos;USA
834;Secuoya roja;Estados Unidos;USA
835;Pino ponderosa;Estados Unidos;USA
836;Roble blanco;Estados Unidos;USA
837;Nogal negro;Estados Unidos;USA
838;Araucaria;Chile;CHL
839;Alerce patagónico;Chile;CHL
840;Coigüe;Chile;CHL
841;Lenga;Argentina;ARG
842;Quebracho colorado;Argentina;ARG
843;Ombú;Argentina;ARG
844;Lapacho rosado;Paraguay;PRY
845;Palo santo;Paraguay;PRY
846;Tajibo;Bolivia;BOL
847;Queñua;Bolivia;BOL
848;Árbol de la quina;Perú;PER
849;Algarrobo peruano;Perú;PER
850;Cedro andino;Ecuador;ECU
851;Arrayán;Ecuador;ECU
852;Palma de cera;Colombia;COL
853;Guayacán amarillo;Colombia;COL
854;Araguaney;Venezuela;VEN
855;Samán;Venezuela;VEN
856;Pau-brasil;Brasil;BRA
857;Castaño de Brasil;Brasil;BRA
858;Caucho amazónico;Brasil;BRA
859;Ipê amarillo;Brasil;BRA
860;Alcornoque;Portugal;PRT
861;Olivo;España;ESP
862;Encina;España;ESP
863;Haya europea;Alemania;DEU
864;Roble inglés;Reino Unido;GBR
865;Fresno europeo;Irlanda;IRL
866;Abedul plateado;Finlandia;FIN
867;Abeto rojo;Noruega;NOR
868;Pino silvestre;Suecia;SWE
869;Tilo europeo;República Checa;CZE
870;Castaño europeo;Italia;ITA
871;Plátano de sombra;Francia;FRA
872;Cedro del Líbano;Líbano;LBN
873;Olivo de Anatolia;Turquía;TUR
874;Cedro del Atlas;Marruecos;MAR
875;Argán;Marruecos;MAR
876;Baobab africano;Senegal;SEN
877;Acacia de sombrilla;Kenia;KEN
878;Ébano africano;Tanzania;TZA
879;Marula;Sudáfrica;ZAF
880;Mopane;Zimbabue;ZWE
881;Baobab de Madagascar;Madagascar;MDG
882;Sicomoro;Egipto;EGY
883;Cedro del Himalaya;India;IND
884;Baniano;India;IND
885;Neem;India;IND
886;Árbol de sal;India;IND
887;Teca;Myanmar;MMR
888;Dipterocarpus;Malasia;MYS
889;Meranti rojo;Indonesia;IDN
890;Árbol de caucho;Indonesia;IDN
891;Bodhi;Sri Lanka;LKA
892;Pino rojo japonés;Japón;JPN
893;Cerezo japonés;Japón;JPN
894;Ginkgo;China;CHN
895;Secuoya del amanecer;China;CHN
896;Paulownia;China;CHN
897;Pino coreano;Corea del Sur;KOR
898;Eucalipto azul;Australia;AUS
899;Acacia dorada;Australia;AUS
900;Kauri;Nueva Zelanda;NZL
901;Guanacaste;Costa Rica;CRI
902;Guachipelín;Costa Rica;CRI
903;Roble sabana;Costa Rica;CRI
904;Corteza amarilla;Costa Rica;CRI
905;Almendro de montaña;Costa Rica;CRI
906;Ceiba;Guatemala;GTM
907;Matilisguate;Guatemala;GTM
908;Pinabete;Guatemala;GTM
909;Caoba;Belice;BLZ
910;Santa María;Belice;BLZ
911;Bálsamo;El Salvador;SLV
912;Maquilishuat;El Salvador;SLV
913;Pino ocote;Honduras;HND
914;Liquidámbar;Honduras;HND
915;Madroño;Nicaragua;NIC
916;Genízaro;Nicaragua;NIC
917;Árbol Panamá;Panamá;PAN
918;Espavé;Panamá;PAN
919;Palma real;Cuba;CUB
920;Jagüey;Cuba;CUB
921;Caoba dominicana;República Dominicana;DOM
922;Pino criollo;República Dominicana;DOM
923;Guayacán;Puerto Rico;PRI
924;Ausubo;Puerto Rico;PRI
925;Ahuehuete;México;MEX
926;Oyamel;México;MEX
927;Mezquite;México;MEX
928;Copal;México;MEX
929;Sabino;México;MEX
930;Arce azucarero;Canadá;CAN
931;Abeto balsámico;Canadá;CAN
932;Cedro rojo occidental;Canadá;CAN
933;Secuoya gigante;Estados Unidos;USA
934;Secuoya roja;Estados Unidos;USA
935;Pino ponderosa;Estados Unidos;USA
936;Roble blanco;Estados Unidos;USA
937;Nogal negro;Estados Unidos;USA
938;Araucaria;Chile;CHL
939;Alerce patagónico;Chile;CHL
940;Coigüe;Chile;CHL
941;Lenga;Argentina;ARG
942;Quebracho colorado;Argentina;ARG
943;Ombú;Argentina;ARG
944;Lapacho rosado;Paraguay;PRY
945;Palo santo;Paraguay;PRY
946;Tajibo;Bolivia;BOL
947;Queñua;Bolivia;BOL
948;Árbol de la quina;Perú;PER
949;Algarrobo peruano;Perú;PER
950;Cedro andino;Ecuador;ECU
951;Arrayán;Ecuador;ECU
952;Palma de cera;Colombia;COL
953;Guayacán amarillo;Colombia;COL
954;Araguaney;Venezuela;VEN
955;Samán;Venezuela;VEN
956;Pau-brasil;Brasil;BRA
957;Castaño de Brasil;Brasil;BRA
958;Caucho amazónico;Brasil;BRA
959;Ipê amarillo;Brasil;BRA
960;Alcornoque;Portugal;PRT
961;Olivo;España;ESP
962;Encina;España;ESP
963;Haya europea;Alemania;DEU
964;Roble inglés;Reino Unido;GBR
965;Fresno europeo;Irlanda;IRL
966;Abedul plateado;Finlandia;FIN
967;Abeto rojo;Noruega;NOR
968;Pino silvestre;Suecia;SWE
969;Tilo europeo;República Checa;CZE
970;Castaño europeo;Italia;ITA
971;Plátano de sombra;Francia;FRA
972;Cedro del Líbano;Líbano;LBN
973;Olivo de Anatolia;Turquía;TUR
974;Cedro del Atlas;Marruecos;MAR
975;Argán;Marruecos;MAR
976;Baobab africano;Senegal;SEN
977;Acacia de sombrilla;Kenia;KEN
978;Ébano africano;Tanzania;TZA
979;Marula;Sudáfrica;ZAF
980;Mopane;Zimbabue;ZWE
981;Baobab de Madagascar;Madagascar;MDG
982;Sicomoro;Egipto;EGY
983;Cedro del Himalaya;India;IND
984;Baniano;India;IND
985;Neem;India;IND
986;Árbol de sal;India;IND
987;Teca;Myanmar;MMR
988;Dipterocarpus;Malasia;MYS
989;Meranti rojo;Indonesia;IDN
990;Árbol de caucho;Indonesia;IDN
991;Bodhi;Sri Lanka;LKA
992;Pino rojo japonés;Japón;JPN
993;Cerezo japonés;Japón;JPN
994;Ginkgo;China;CHN
995;Secuoya del amanecer;China;CHN
996;Paulownia;China;CHN
997;Pino coreano;Corea del Sur;KOR
998;Eucalipto azul;Australia;AUS
999;Acacia dorada;Australia;AUS
1000;Kauri;Nueva Zelanda;NZL
